tweeted_at,text,clean_text,favorite_count,date
2022-11-05 19:58:30.000,@aoyagi_ssk おすすめどれですの～～～！？お昼ご飯のアレそれとカヌレ以外は食べたことないやつ,おすすめどれですのお昼ご飯のアレそれとカヌレ以外は食べたことないやつ,0,2022-11-05
2020-10-24 19:41:09.000,@PT717274886 カヌレをお腹いっぱい食べるのが夢ですw5個くらい！,カヌレをお腹いっぱい食べるのが夢ですw5個くらい,1,2020-10-24
2020-03-09 23:09:50.000,@xing2015 カヌレ堂ですか？？,カヌレ堂ですか,1,2020-03-09
2022-08-15 22:09:35.000,"映画の後はタカシマヤに期間限定出店中のモンプティプッサンへ。
もういろいろ商品無くなってたけど😅
今回は肉球カヌレも購入！
可愛い上にマジ美味しい！
また店舗の方にもお邪魔したい。
3枚目の写真は食べられない我が家のチビネッコ様の肉球。
黒い肉球はよき… https://t.co/dNVu2GX6NM",映画の後はタカシマヤに期間限定出店中のモンプティプッサンへ。もういろいろ商品無くなってたけど今回は肉球カヌレも購入可愛い上にマジ美味しいまた店舗の方にもお邪魔したい。3枚目の写真は食べられない我が家のチビネッコ様の肉球。黒い肉球はよきhttpstcodnvu2gx6nm,2,2022-08-15
2021-06-08 18:45:37.000,カヌレが食べたい,カヌレが食べたい,0,2021-06-08
2022-12-07 00:54:43.000,私の苦手な小麦粉のお菓子でしょ？と今まで興味なかったカヌレ、TLでカヌレ好きのどなたかが「エセカヌレが増えた！本物はモチモチ！(意訳)」と言ってて興味が出たので、横浜に行った時に買おうと気軽に考えてたら良さそうなお店がなかった。そごうか高島屋に有名店が入ってるはずと思い込んでた…,私の苦手な小麦粉のお菓子でしょと今まで興味なかったカヌレtlでカヌレ好きのどなたかが「エセカヌレが増えた本物はモチモチ意訳」と言ってて興味が出たので横浜に行った時に買おうと気軽に考えてたら良さそうなお店がなかった。そごうか高島屋に有名店が入ってるはずと思い込んでた,1,2022-12-07
2022-06-09 09:23:49.000,カヌレが美味しいすぎる,カヌレが美味しいすぎる,2,2022-06-09
2020-08-21 00:13:44.000,"@yuta_sky_ これ、以前に注意されて以降気を付けてるんですが、自分も昔はホントこんなでして。
言い訳すると、口の中にある程度の量が入らないと美味しさ認識できないんですよ。
カヌレが意外と高いって知ってればまた違うんでしょうけど。",これ以前に注意されて以降気を付けてるんですが自分も昔はホントこんなでして。言い訳すると口の中にある程度の量が入らないと美味しさ認識できないんですよ。カヌレが意外と高いって知ってればまた違うんでしょうけど。,0,2020-08-21
2021-07-09 17:52:40.000,"@cake_MAROMARO さくもさんとこの
🍅は絶品だから
このゼリーも
絶品間違いないです✨
カヌレとあわせて
買いに行かなくては💨
商品化たのしみにしてます😊❣️",さくもさんとこのは絶品だからこのゼリーも絶品間違いないですカヌレとあわせて買いに行かなくては商品化たのしみにしてます,1,2021-07-09
2020-12-15 13:19:40.000,@HawksJac これは催事やったけん常設じゃないんやけどね💦たぶん今は他のお店にもあったような…🤔北九州八幡にある見た目も可愛いカヌレもオススメだよー👍💕確か八幡のは楽天でも購入できるはず〜！,これは催事やったけん常設じゃないんやけどねたぶん今は他のお店にもあったような北九州八幡にある見た目も可愛いカヌレもオススメだよー確か八幡のは楽天でも購入できるはず,0,2020-12-15
2022-10-31 14:41:08.000,おやつは珈琲と紅茶とカヌレとおもちともずくとレーズンウィッチたべた_(　　_‾ω‾ )_♡,おやつは珈琲と紅茶とカヌレとおもちともずくとレーズンウィッチたべた ‾ω‾♡,137,2022-10-31
