tweeted_at,text,clean_text,favorite_count,date
2021-10-06 15:57:10.000,"@yZylFMxBKXMBAMx こんにちは👋😃
そうだよ😃マリトッツォ風だね～😆🎶めっちゃホイップたっぷりで美味しい～👍",こんにちはそうだよマリトッツォ風だねめっちゃホイップたっぷりで美味しい,1,2021-10-06
2021-08-04 00:19:41.000,"今日は手乗りマリトッツォを食べました。
町のパン屋さんって感じのよく行くお店に置いてた。当たり前だけどパンが美味しくて満足！ https://t.co/ZRRBnWQIQE",今日は手乗りマリトッツォを食べました。町のパン屋さんって感じのよく行くお店に置いてた。当たり前だけどパンが美味しくて満足 ,1,2021-08-04
2021-06-23 14:43:16.000,マリトッツォとやらを食べた💭これでもかという量の生クリームを摂取した……🐃🐂🐄,マリトッツォとやらを食べたこれでもかという量の生クリームを摂取した,7,2021-06-23
2021-12-17 22:18:29.000,GODIVAのマリトッツォ気になるwww,godivaのマリトッツォ気になるwww,5,2021-12-17
2022-08-27 05:23:25.000,@_da_ba_ 美味しそう〜😻オシャレなデザートですね✨去年は確か迫力満点のマリトッツォだった…📿,美味しそうオシャレなデザートですね去年は確か迫力満点のマリトッツォだった,0,2022-08-27
2021-07-04 09:41:18.000,"今日の朝ごはんはカルディのマリトッツォ

オレンジピールがきいてる☺️ https://t.co/tZG93XZLDP",今日の朝ごはんはカルディのマリトッツォオレンジピールがきいてる,1,2021-07-04
2022-02-14 22:30:41.000,"@Rakuten_Panda なんてかわいいの😍😍😍
マトリックス・・・あっ、違った💦マリトッツォ❤
おいしいよねぇ～でも、これは飾っておきたいかわいさ(*´艸｀*)",なんてかわいいのマトリックス・・・あっ違ったマリトッツォおいしいよねぇでもこれは飾っておきたいかわいさ´艸｀,11,2022-02-14
2021-06-26 16:34:37.000,時代の流れに乗って初マリトッツォ🥯少しクリーム残したけど思ってたより軽め🙆‍♀️パンがふわふわ〜🤭☕️ https://t.co/Pi3paVcbVe,時代の流れに乗って初マリトッツォ少しクリーム残したけど思ってたより軽めパンがふわふわ️,31,2021-06-26
2021-10-20 11:01:34.000,どらやきマリトッツォ毎日食べるぐらいにハマっとる👻あれは食べな人生損するレベル👻,どらやきマリトッツォ毎日食べるぐらいにハマっとるあれは食べな人生損するレベル,0,2021-10-20
2021-07-07 11:58:22.000,生クリームがそんなに好きじゃないからマリトッツォを敬遠してたけど、オレンジピール入に惹かれて買ったのが美味しかった。でも、やっぱり生クリームの量はあんなに要らん,生クリームがそんなに好きじゃないからマリトッツォを敬遠してたけどオレンジピール入に惹かれて買ったのが美味しかった。でもやっぱり生クリームの量はあんなに要らん,0,2021-07-07
2021-07-27 21:18:37.000,"セブンスイーツのマリトッツォ、すごい美味しいんですよね！
パンは柔らかいしクリームの舌触りもいい
コーヒーとの相性もすごく良い",セブンスイーツのマリトッツォすごい美味しいんですよねパンは柔らかいしクリームの舌触りもいいコーヒーとの相性もすごく良い,5,2021-07-27
2021-11-20 17:25:36.000,"ついに見つけた！！
マリトッツォ！！ https://t.co/8YBl85Jvoh",ついに見つけたマリトッツォ ,2,2021-11-20
2021-08-28 20:34:45.000,バナナクリームのマリトッツォいただきました https://t.co/2m9dnKWDVd,バナナクリームのマリトッツォいただきました,104,2021-08-28
2021-09-18 20:58:15.000,@SantaBaking わたしも、同じこと思ってしまいました笑🤭でもマリトッツォ（悩）だから普通のクリームどら焼きよりクリーム多めでおいしかったです😊,わたしも同じこと思ってしまいました笑でもマリトッツォ悩だから普通のクリームどら焼きよりクリーム多めでおいしかったです,1,2021-09-18
2021-10-26 20:44:42.000,今日コンビニで、多めのクリーム挟んだ「どら焼きマリトッツォ」見つけて、すぐやるわぁ日本人こういうの！ってなったw,今日コンビニで多めのクリーム挟んだ「どら焼きマリトッツォ」見つけてすぐやるわぁ日本人こういうのってなったw,1,2021-10-26
2021-04-25 17:16:57.000,"@taremama47 ともちゃん🧡
マリトッツォいいなぁ✨
見た目も可愛くて、すごく美味しそう🍓🍓

でも、食べるの難しそう😂",ともちゃんマリトッツォいいなぁ見た目も可愛くてすごく美味しそうでも食べるの難しそう,1,2021-04-25
2021-09-01 03:50:12.000,"昨日の3時のおやつは

スーパーで購入した

マリトッツォ  オレンジピール入り食べました😃 https://t.co/RIaRDxmUHo",昨日の3時のおやつはスーパーで購入したマリトッツォオレンジピール入り食べました,2,2021-09-01
2021-06-10 20:18:50.000,"実は甘いものが苦手な方だけど、
マリトッツォ美味しかった(´°ω°`)♥︎︎
生地のしょっぱ味と、甘くないミルク味が強いクリームがよかった♪
買ったお店がよかったのかも？
生クリーム専門店 milk https://t.co/dAbnFvXpuk",実は甘いものが苦手な方だけどマリトッツォ美味しかった´ω︎︎生地のしょっぱ味と甘くないミルク味が強いクリームがよかった買ったお店がよかったのかも生クリーム専門店milk ,2,2021-06-10
2021-04-29 22:04:20.000,"初マリトッツォ。とてもおいしい💕
フルーツサンドと同じ流れだな。
敢えてのパンにクリーム。
シンプルに白いやつが好き。",初マリトッツォ。とてもおいしいフルーツサンドと同じ流れだな。敢えてのパンにクリーム。シンプルに白いやつが好き。,0,2021-04-29
2021-03-16 15:13:15.000,"今日のおやつ
マリトッツォって知ってる？
イタリア ローマの伝統的なパン菓子ぷら〜。
ブリオッシュ生地にたっぷりのクリーム♪糖分摂取して、残りのお仕事もがんばるぷら〜。

#いちご #マリトッツォ #撮影5分 #食べるの30秒 https://t.co/tWuuivYdpx",今日のおやつマリトッツォって知ってるイタリアローマの伝統的なパン菓子ぷら。ブリオッシュ生地にたっぷりのクリーム糖分摂取して残りのお仕事もがんばるぷら。いちごマリトッツォ撮影5分食べるの30秒,3,2021-03-16
