tweeted_at,text,clean_text,favorite_count,date
2022-05-05 19:38:02.000,ボクもヤクルト1000がいいけど売ってないのでR1飲んでる感ある,ボクもヤクルト1000がいいけど売ってないのでr1飲んでる感ある,1,2022-05-05
2022-05-03 14:39:24.000,地元舐めてた…ヤクルト1000求めてコンビニとスーパー回ってただけやん…（この時期自宅近くは観光客が多い）,地元舐めてたヤクルト1000求めてコンビニとスーパー回ってただけやんこの時期自宅近くは観光客が多い,0,2022-05-03
2022-10-31 22:15:39.000,ヤクルト1000での悪夢誘導するゆんちゃ想像した🥺,ヤクルト1000での悪夢誘導するゆんちゃ想像した,0,2022-10-31
2022-07-02 09:50:55.000,これがヤクルト1000ってやつか https://t.co/jSWMch9g2K,これがヤクルト1000ってやつかhttpstcojswmch9g2k,1,2022-07-02
2022-10-08 13:57:41.000,セブンでヤクルト1000を手に入れた。,セブンでヤクルト1000を手に入れた。,1,2022-10-08
2022-06-23 11:15:14.000,"成分は一緒？だと思うんだけど…少し前から話題のヤクルト1000、私はこちらのヤクルトY1000がよりお薦めでしっ！
あとちょっと飲ませてくれ！が解消され、いや～こんなに要らないよ～のちょっと手前で飲みきる絶妙サイズ👍
各沼腐女子の皆様におかれましてはお馴染みＹシリーズのYでございますよ！ww https://t.co/lCJ1AOijj4",成分は一緒だと思うんだけど少し前から話題のヤクルト1000私はこちらのヤクルトy1000がよりお薦めでしっあとちょっと飲ませてくれが解消されいやこんなに要らないよのちょっと手前で飲みきる絶妙サイズ各沼腐女子の皆様におかれましてはお馴染みyシリーズのyでございますよww httpstcolcj1aoijj4,11,2022-06-23
2022-04-17 22:56:50.000,ヤクルト1000ってスーパーにはないんだっけ…一度試してみたいが,ヤクルト1000ってスーパーにはないんだっけ一度試してみたいが,0,2022-04-17
2022-06-10 17:01:57.000,"ヤクルト1000って原材料が「砂糖（国内製造）、脱脂粉乳、ぶどう糖果糖液糖、高果糖液糖」なのに栄養成分表示には糖分のこと書いてないの(任意項目なので)
いったいどれだけの糖分なのか…って今朝考えてしまったのと、最近腸が別の要因で弱いので、ヤクルト1000からは引退することにしました(",ヤクルト1000って原材料が「砂糖国内製造脱脂粉乳ぶどう糖果糖液糖高果糖液糖」なのに栄養成分表示には糖分のこと書いてないの任意項目なのでいったいどれだけの糖分なのかって今朝考えてしまったのと最近腸が別の要因で弱いのでヤクルト1000からは引退することにしました,8,2022-06-10
2022-10-05 10:53:50.000,ヤクルト1000買えた!!! https://t.co/AAk8GQzmvf,ヤクルト1000買えた httpstcoaak8gqzmvf,1,2022-10-05
2022-09-09 13:49:40.000,@hardofffukuoka いまだに店頭で見かけたことのないヤクルト1000…ぜひ効果のほどをレポお願いします😁✨,いまだに店頭で見かけたことのないヤクルト1000ぜひ効果のほどをレポお願いします,15,2022-09-09
